1	AAo	0.70	84.93	0.54	0.45
2	KKo	0.64	82.11	0.55	0.45
3	QQo	0.59	79.63	0.58	0.45
4	JJo	0.54	77.15	0.63	0.45
5	TTo	0.50	74.66	0.70	0.45
6	99o	0.44	71.66	0.78	0.45
7	88o	0.38	68.71	0.89	0.45
8	AKs	0.34	66.21	1.65	0.30
9	77o	0.32	65.72	1.02	0.45
10	AQs	0.32	65.31	1.79	0.30
11	AJs	0.30	64.39	1.99	0.30
12	AKo	0.30	64.46	1.70	0.90
13	ATs	0.29	63.48	2.22	0.30
14	AQo	0.28	63.50	1.84	0.90
15	AJo	0.27	62.53	2.05	0.90
16	KQs	0.26	62.40	1.98	0.30
17	66o	0.26	62.70	1.16	0.45
18	A9s	0.25	61.50	2.54	0.30
19	ATo	0.25	61.56	2.30	0.90
20	KJs	0.25	61.47	2.18	0.30
21	A8s	0.23	60.50	2.87	0.30
22	KTs	0.23	60.58	2.40	0.30
23	KQo	0.22	60.43	2.04	0.90
24	A7s	0.21	59.38	3.19	0.30
25	A9o	0.21	59.44	2.64	0.90
26	KJo	0.21	59.44	2.25	0.90
27	55o	0.20	59.64	1.36	0.45
28	QJs	0.20	59.07	2.37	0.30
29	K9s	0.19	58.63	2.70	0.30
30	A5s	0.19	58.06	3.71	0.30
31	A6s	0.19	58.17	3.45	0.30
32	A8o	0.19	58.37	2.99	0.90
33	KTo	0.19	58.49	2.48	0.90
34	QTs	0.18	58.17	2.59	0.30
35	A4s	0.18	57.13	3.79	0.30
36	A7o	0.17	57.16	3.34	0.90
37	K8s	0.16	56.79	3.04	0.30
38	A3s	0.16	56.33	3.77	0.30
39	QJo	0.16	56.90	2.45	0.90
40	K9o	0.15	56.40	2.80	0.90
41	A5o	0.15	55.74	3.90	0.90
42	A6o	0.15	55.87	3.62	0.90
43	Q9s	0.15	56.22	2.88	0.30
44	K7s	0.15	55.84	3.38	0.30
45	JTs	0.15	56.15	2.74	0.30
46	A2s	0.14	55.50	3.74	0.30
47	QTo	0.14	55.94	2.68	0.90
48	44o	0.14	56.25	1.53	0.45
49	A4o	0.13	54.73	3.99	0.90
50	K6s	0.13	54.80	3.67	0.30
51	K8o	0.12	54.43	3.17	0.90
52	Q8s	0.12	54.41	3.20	0.30
53	A3o	0.11	53.85	3.97	0.90
54	K5s	0.11	53.83	3.91	0.30
55	J9s	0.11	54.11	3.10	0.30
